"Size","Custom Avg (s)","Custom Min (s)","Custom Max (s)","Custom Sum (s)","Custom N","Library Avg (s)","Library Min (s)","Library Max (s)","Library Sum (s)","Library N","Custom slower than Lib (%)"
"8","0,000003589","0,000003536","0,000003644","0,000017945","5","0,000000422","0,000000420","0,000000424","0,000002110","5","750,39%"
"16","0,000013190","0,000013155","0,000013228","0,000065950","5","0,000001360","0,000001357","0,000001363","0,000006800","5","869,79%"
"32","0,000057474","0,000057332","0,000057950","0,000287371","5","0,000005581","0,000005571","0,000005606","0,000027903","5","929,88%"
"64","0,000275792","0,000274515","0,000276869","0,001378961","5","0,000025171","0,000025137","0,000025287","0,000125854","5","995,68%"
"128","0,001714465","0,001702587","0,001743560","0,008572326","5","0,000102579","0,000102327","0,000102835","0,000512895","5","1571,36%"
"256","0,098081353","0,096698245","0,099572773","0,490406766","5","0,000238837","0,000210923","0,000264141","0,001194183","5","40966,31%"
"512","0,226077405","0,196910418","0,295156978","1,130387023","5","0,000391165","0,000373558","0,000411193","0,001955823","5","57695,97%"
"1024","1,871697525","1,622637212","2,175985179","9,358487624","5","0,001982993","0,001600567","0,002234472","0,009914965","5","94287,50%"
"2048","9,433820228","9,365338673","9,468740778","47,169101142","5","0,005890869","0,005741902","0,006171471","0,029454345","5","160043,10%"
"4096","43,065893301","42,918747827","43,177943202","215,329466506","5","0,024130338","0,023956973","0,024265546","0,120651692","5","178371,98%"
"8192","288,034307872","287,844899902","288,211794718","1440,171539359","5","0,119263043","0,119079543","0,119487256","0,596315215","5","241411,79%"
